Regional Rank,International Rank,Countries,HDI2015,HDI2014,Change



,,,

1,2,Australia,0.939,0.937,0.001
2,5,Singapore,0.925,0.924,0.001
3,12,Hong Kong,0.917,0.916,0.001
4,13,New Zealand,0.915,0.913,0.002
5,17,Japan,0.903,0.902,0.001
6,18,South Korea,0.901,0.899,0.002
7,19,Israel,0.899,0.898,0.001
—,—,Taiwan[n 1][6],0.885,,
8,30,Brunei,0.865,0.864,0.001
9,33,Cyprus,0.856,0.854,0.002
9,33,Qatar,0.856,0.855,0.001
10,38,Saudi Arabia,0.847,0.845,0.001
11,42,United Arab Emirates,0.840,0.836,0.004
12,47,Bahrain,0.824,0.823,0.001
13,49,Russia[n 2],0.804,,
14,51,Kuwait,0.800,0.799,0.001

15,52,Oman,0.796,0.795,0.001
16,56,Kazakhstan[n 3],0.794,0.793,0.001
17,59,Malaysia,0.789,0.787,0.003
18,60,Palau,0.788,0.783,0.005
19,69,Iran,0.774,0.774,
20,70,Georgia[n 4],0.769,,
21,71,Turkey[n 5],0.767,,
22,73,Sri Lanka,0.766,0.764,0.003
23,76,Lebanon,0.763,0.763,
24,78,Azerbaijan[n 6],0.759,,
25,84,Armenia,0.743,,
26,86,Jordan,0.741,0.741,0.001
27,87,Thailand,0.740,0.738,0.002
28,90,China,0.738,0.734,0.004
29,91,Fiji,0.736,0.734,0.002
30,92,Mongolia,0.735,0.733,0.002
31,101,Tonga,0.721,0.718,0.003
32,104,Samoa,0.704,0.702,0.002
33,105,Maldives,0.701,0.701,
34,105,Uzbekistan,0.701,0.697,0.004

35,111,Egypt[n 7],0.691,,
35,111,Turkmenistan,0.691,0.688,0.003
36,113,Indonesia,0.689,0.686,0.002
37,114,Palestine,0.684,,
38,115,Vietnam,0.683,0.678,0.005
39,116,Philippines,0.682,0.679,0.003
40,120,Kyrgyzstan,0.664,0.662,0.002
41,121,Iraq,0.649,0.649,
42,127,Micronesia,0.638,0.637,0.001
43,129,Tajikistan,0.627,0.625,0.002
44,131,India,0.624,0.615,0.008
45,132,Bhutan,0.607,0.604,0.002
46,133,East Timor,0.605,0.603,0.002
47,134,Vanuatu,0.597,0.598,0.001
48,137,Kiribati,0.588,0.586,0.002
49,138,Laos,0.586,0.582,0.004
50,139,Bangladesh,0.579,0.575,0.004
51,143,Cambodia,0.563,0.558,0.005
52,144,Nepal,0.558,0.555,0.003
53,145,Myanmar,0.556,0.552,0.004
54,147,Pakistan,0.550,0.548,0.002

55,149,Syria,0.536,0.553,0.017
56,154,Papua New Guinea,0.516,0.515,0.001
57,156,Solomon Islands,0.515,0.513,0.002
58,168,Yemen,0.482,0.499,0.017
59,169,Afghanistan,0.479,0.479,
*Change in HDI value rounded to three decimals
